Distance_mm;Amplitude
2076.77;0.003640
2080.56;0.003802
2084.34;0.003888
2088.13;0.003896
2091.92;0.003827
2095.71;0.003681
2099.50;0.003463
2103.29;0.003179
2107.08;0.002841
2110.86;0.002462
2114.65;0.002066
2118.44;0.001691
2122.23;0.001402
2126.02;0.001301
2129.81;0.001443
2133.60;0.001767
2137.39;0.002177
2141.17;0.002607
2144.96;0.003017
2148.75;0.003379
2152.54;0.003672
2156.33;0.003881
2160.12;0.003992
2163.91;0.003995
2167.69;0.003885
2171.48;0.003661
2175.27;0.003328
2179.06;0.002894
2182.85;0.002373
2186.64;0.001783
2190.43;0.001154
2194.21;0.000570
2198.00;0.000532
2201.79;0.001101
2205.58;0.001731
2209.37;0.002328
2213.16;0.002865
2216.95;0.003321
2220.74;0.003687
2224.52;0.003953
2228.31;0.004116
2232.10;0.004173
2235.89;0.004127
2239.68;0.003984
2243.47;0.003751
2247.26;0.003438
2251.04;0.003057
2254.83;0.002622
2258.62;0.002148
2262.41;0.001651
2266.20;0.001147
2269.99;0.000653
2273.78;0.000206
2277.57;0.000313
2281.35;0.000702
2285.14;0.001052
2288.93;0.001351
2292.72;0.001594
2296.51;0.001784
2300.30;0.001925
2304.09;0.002027
2307.87;0.002102
2311.66;0.002167
2315.45;0.002240
2319.24;0.002341
2323.03;0.002483
2326.82;0.002672
2330.61;0.002903
2334.39;0.003164
2338.18;0.003437
2341.97;0.003703
2345.76;0.003944
2349.55;0.004146
2353.34;0.004296
2357.13;0.004387
2360.92;0.004417
2364.70;0.004388
2368.49;0.004307
2372.28;0.004183
2376.07;0.004028
2379.86;0.003857
2383.65;0.003683
2387.44;0.003518
